TicketID,FlightID,BookingStatus
5001,1178,Pending
5002,1078,Confirmed
5003,1117,Cancelled
5004,1120,Cancelled
5005,1137,Cancelled
5006,1162,Pending
5007,1076,Pending
5008,1035,Cancelled
5009,1001,Cancelled
5010,1040,Cancelled
5011,1064,Pending
5012,1150,Cancelled
5013,1060,Cancelled
5014,1064,Confirmed
5015,1093,Confirmed
5016,1072,Pending
5017,1011,Cancelled
5018,1105,Cancelled
5019,1014,Confirmed
5020,1060,Pending
5021,1030,Confirmed
5022,1035,Confirmed
5023,1165,Confirmed
5024,1005,Confirmed
5025,1083,Cancelled
5026,1123,Cancelled
5027,1078,Confirmed
5028,1154,Pending
5029,1062,Pending
5030,1132,Pending
5031,1089,Pending
5032,1042,Confirmed
5033,1089,Cancelled
5034,1146,Pending
5035,1040,Confirmed
5036,1072,Pending
5037,1039,Pending
5038,1104,Confirmed
5039,1014,Cancelled
5040,1032,Cancelled
5041,1179,Confirmed
5042,1125,Cancelled
5043,1166,Confirmed
5044,1097,Confirmed
5045,1023,Confirmed
5046,1063,Cancelled
5047,1143,Confirmed
5048,1153,Pending
5049,1145,Cancelled
5050,1194,Cancelled
